Word,Frequency
movie,2549
Barbie,1946
film,858
world,724
like,714
Ken,618
really,536
would,475
good,456
real,448
women,437
fun,422
also,406
one,391
see,380
great,374
much,371
think,358
men,350
could,342
way,337
Robbie,330
Gosling,327
Ryan,324
Margot,309
message,292
well,292
funny,287
made,285
watch,271
story,262
even,262
time,260
many,252
felt,252
perfect,247
end,244
make,231
people,231
go,228
feel,224
get,221
little,216
first,210
Gerwig,210
life,209
lot,205
plot,199
patriarchy,199
amazing,196
say,189
thought,186
Barbies,185
woman,180
going,176
love,176
Greta,176
best,174
barbie,173
Barbieland,171
've,171
cast,170
characters,169
know,162
Kens,158
everyone,156
better,156
character,156
still,156
something,155
bit,154
point,152
loved,151
movies,150
comedy,150
never,150
Mattel,148
went,147
every,144
audience,142
want,142
girls,140
things,140
doll,140
society,137
everything,136
us,135
watching,134
bad,134
back,133
definitely,132
moments,131
acting,129
whole,128
role,128
got,128
ending,127
dolls,127
seen,127
set,123
scene,123
part,122
beautiful,122
kids,119
feminism,118
times,117
understand,116
though,116
pretty,113
take,112
human,111
jokes,110
actually,110
find,110
feminist,108
thing,107
ca,107
scenes,106
ever,105
enjoyed,105
done,104
experience,101
anything,99
around,99
trying,99
're,98
played,98
old,97
without,97
hard,96
makes,96
humor,95
two,94
expectations,94
pink,93
recommend,93
actors,93
feels,92
show,92
long,90
wanted,90
kind,89
making,89
sense,88
young,87
overall,87
absolutely,87
job,87
give,86
daughter,86
hilarious,85
enjoy,85
expect,84
However,84
laugh,84
sure,83
quite,83
expected,83
entertaining,83
live,83
idea,83
enough,82
design,82
throughout,82
need,82
especially,82
power,81
music,81
different,81
nothing,81
watched,81
year,81
girl,81
children,81
cinema,80
look,79
half,79
gender,79
seeing,79
big,79
found,79
important,78
sets,77
emotional,77
said,77
costumes,76
new,76
toy,76
truly,75
saw,73
films,73
performance,72
work,72
&,72
beginning,72
left,71
come,71
roles,71
worth,71
day,71
right,70
issues,69
script,69
deep,69
America,69
minutes,69
parts,68
away,68
expecting,68
'd,67
marketing,66
probably,66
Also,66
